wave (um),depth,Rp/R*
0.90017,0.022019,0.14838800490605702
0.90917,0.022018,0.1483846353232032
0.91826,0.022076,0.14857994481086603
0.92745,0.022189,0.1489597261007149
0.93672,0.022251,0.14916769087171658
0.94609,0.022235,0.1491140503104922
0.95555,0.022234,0.14911069713471264
0.96511,0.022231,0.14910063715490957
0.97476,0.022229,0.14909393012460298
0.9845,0.022213,0.14904026301640774
0.99435,0.022179,0.1489261561982985
1.00429,0.02215,0.14882876066137216
1.01434,0.022104,0.1486741403203664
1.02448,0.022063,0.14853619087616324
1.03472,0.022024,0.14840485167271317
1.04507,0.022006,0.14834419435893
1.05552,0.021991,0.14829362764461593
1.06608,0.021988,0.14828351223247985
1.07674,0.021996,0.1483104851316993
1.0875,0.022077,0.1485833099644775
1.09838,0.022215,0.14904697246170417
1.10936,0.022255,0.14918109799837243
1.12046,0.022282,0.14927156460625715
1.13166,0.0223,0.1493318452306808
1.14298,0.022288,0.1492916608521722
1.15441,0.022288,0.1492916608521722
1.16595,0.022291,0.14930170796075978
1.17761,0.022277,0.149254815667703
1.18939,0.022246,0.1491509302686376
1.20128,0.022199,0.14899328843944615
1.21329,0.022171,0.1488992948270743
1.22543,0.022137,0.1487850798971456
1.23768,0.022106,0.1486808662874951
1.25006,0.02207,0.14855975228843107
1.26256,0.022069,0.1485563866011825
1.27518,0.022082,0.14860013458944107
1.28794,0.0221,0.14866068747318506
1.30082,0.022128,0.14875483185429642
1.31382,0.022159,0.1488589936819405
1.32696,0.022245,0.14914757792200314
1.34023,0.022447,0.1498232291735831
1.35363,0.022497,0.14998999966664445
1.36717,0.022512,0.15003999466808843
1.38084,0.022504,0.1500133327407934
1.39465,0.022508,0.1500266642967176
1.4086,0.022528,0.15009330431434975
1.42268,0.022556,0.15018655066283398
1.43691,0.022538,0.15012661323029972
1.45128,0.022513,0.15004332707588164
1.46579,0.022491,0.14996999699939986
1.48045,0.022482,0.1499399879951976
1.49525,0.022459,0.14986327101728428
1.51021,0.022424,0.14974645237867906
1.52531,0.022397,0.1496562728387955
1.54056,0.022354,0.14951254127998762
1.55597,0.022314,0.14937871334296599
